,experiment,event,duration,global,iteration
45,cpu-static,createsim,504.5589792728424,createsim_success,3
46,cpu-static,cganalysis,1786.2978165149689,cganalysis_success,3
47,cpu-static,cganalysis,1786.2497713565826,cganalysis_success,3
48,cpu-static,cganalysis,1786.2753138542175,cganalysis_success,3
49,cpu-static,cganalysis,1786.2535426616669,cganalysis_success,3
50,cpu-static,cganalysis,1786.228091955185,cganalysis_success,3
51,cpu-static,cganalysis,397.95335578918457,cganalysis_success,3
52,cpu-static,mlrunner,9.896080255508423,mlrunner_success,3
53,cpu-static,createsim,492.5580470561981,createsim_success,3
54,cpu-static,cganalysis,1786.2856543064117,cganalysis_success,3
55,cpu-static,mlrunner,9.788718938827515,mlrunner_success,3
56,cpu-static,mlrunner,11.398016214370728,mlrunner_success,3
57,cpu-static,mlrunner,10.02266812324524,mlrunner_success,3
58,cpu-static,createsim,502.559396982193,createsim_success,3
59,cpu-static,createsim,486.5632116794586,createsim_success,3
60,cpu-static,createsim,494.39345836639404,createsim_success,3
61,cpu-static,cganalysis,1786.265986442566,cganalysis_success,3
62,cpu-static,cganalysis,1786.230045557022,cganalysis_success,3
63,cpu-static,cganalysis,1786.2888221740723,cganalysis_success,3
65,cpu-static,mlrunner,7.613388538360596,mlrunner_failure,2
66,cpu-static,mlrunner,14.002219438552856,mlrunner_success,2
67,cpu-static,mlrunner,14.050053834915161,mlrunner_success,2
68,cpu-static,mlrunner,12.636933326721191,mlrunner_success,2
69,cpu-static,mlrunner,12.692543745040894,mlrunner_success,2
70,cpu-static,mlrunner,12.579191446304321,mlrunner_success,2
71,cpu-static,mlrunner,10.932479858398438,mlrunner_success,2
72,cpu-static,createsim,505.79686546325684,createsim_success,2
73,cpu-static,createsim,520.8534543514252,createsim_success,2
74,cpu-static,createsim,510.87157940864563,createsim_success,2
75,cpu-static,createsim,510.15797185897827,createsim_success,2
76,cpu-static,createsim,535.6917793750763,createsim_success,2
77,cpu-static,createsim,507.66361713409424,createsim_success,2
78,cpu-static,cganalysis,1806.9992651939392,cganalysis_success,2
79,cpu-static,cganalysis,1801.9392817020416,cganalysis_success,2
80,cpu-static,cganalysis,1801.0364212989807,cganalysis_success,2
81,cpu-static,cganalysis,1799.2420177459717,cganalysis_success,2
82,cpu-static,cganalysis,1797.3709349632263,cganalysis_success,2
83,cpu-static,cganalysis,1795.7811098098755,cganalysis_success,2
84,cpu-static,mlrunner,9.55924129486084,mlrunner_success,2
85,cpu-static,mlrunner,9.711567640304565,mlrunner_success,2
86,cpu-static,mlrunner,9.864037990570068,mlrunner_success,2
87,cpu-static,mlrunner,9.782986402511597,mlrunner_success,2
88,cpu-static,createsim,521.7101571559906,createsim_success,2
89,cpu-static,createsim,486.4035849571228,createsim_success,2
90,cpu-static,createsim,495.4819850921631,createsim_success,2
91,cpu-static,createsim,493.301335811615,createsim_success,2
92,cpu-static,cganalysis,1786.2261435985565,cganalysis_success,2
93,cpu-static,cganalysis,1786.3338403701782,cganalysis_success,2
94,cpu-static,cganalysis,1786.2720646858215,cganalysis_success,2
95,cpu-static,cganalysis,1786.2655370235443,cganalysis_success,2
97,gpu-static,mlrunner,35.622456550598145,mlrunner_success,1
98,gpu-static,mlrunner,35.916889667510986,mlrunner_success,1
