,experiment,event,duration,global
118,cpu-static,wfmanager_add_cgframes_to_ml_28,1.5974044799804688e-05,wfmanager_add_cgframes_to_ml
119,cpu-static,wfmanager_update_jobs_28,0.5307211875915527,wfmanager_update_jobs
120,cpu-static,wfmanager_add_new_patches_mlserver_29,0.12263250350952148,wfmanager_add_new_patches_mlserver
121,cpu-static,wfmanager_add_new_patches_to_ml_29,1.3589859008789062e-05,wfmanager_add_new_patches_to_ml
122,cpu-static,wfmanager_add_cgframes_to_ml_29,1.5020370483398438e-05,wfmanager_add_cgframes_to_ml
123,cpu-static,wfmanager_update_jobs_29,0.6718630790710449,wfmanager_update_jobs
124,cpu-static,wfmanager_add_new_patches_mlserver_30,0.10271167755126953,wfmanager_add_new_patches_mlserver
125,cpu-static,wfmanager_add_new_patches_to_ml_30,1.4066696166992188e-05,wfmanager_add_new_patches_to_ml
126,cpu-static,wfmanager_add_cgframes_to_ml_30,1.6450881958007812e-05,wfmanager_add_cgframes_to_ml
127,cpu-static,wfmanager_update_jobs_30,0.43236756324768066,wfmanager_update_jobs
128,cpu-static,wfmanager_add_new_patches_mlserver_31,0.2847602367401123,wfmanager_add_new_patches_mlserver
129,cpu-static,wfmanager_add_new_patches_to_ml_31,1.4066696166992188e-05,wfmanager_add_new_patches_to_ml
130,cpu-static,wfmanager_add_cgframes_to_ml_31,1.8596649169921875e-05,wfmanager_add_cgframes_to_ml
131,cpu-static,wfmanager_update_jobs_31,0.5718832015991211,wfmanager_update_jobs
132,cpu-static,wfmanager_add_new_patches_mlserver_32,0.1327219009399414,wfmanager_add_new_patches_mlserver
133,cpu-static,wfmanager_add_new_patches_to_ml_32,1.239776611328125e-05,wfmanager_add_new_patches_to_ml
134,cpu-static,wfmanager_add_cgframes_to_ml_32,1.3113021850585938e-05,wfmanager_add_cgframes_to_ml
135,cpu-static,wfmanager_update_jobs_32,0.44759583473205566,wfmanager_update_jobs
136,cpu-static,wfmanager_add_new_patches_mlserver_33,0.1899869441986084,wfmanager_add_new_patches_mlserver
137,cpu-static,wfmanager_add_new_patches_to_ml_33,1.430511474609375e-05,wfmanager_add_new_patches_to_ml
138,cpu-static,wfmanager_add_cgframes_to_ml_33,1.9788742065429688e-05,wfmanager_add_cgframes_to_ml
139,cpu-static,wfmanager_update_jobs_33,0.43380188941955566,wfmanager_update_jobs
140,cpu-static,wfmanager_add_new_patches_mlserver_34,0.2154703140258789,wfmanager_add_new_patches_mlserver
141,cpu-static,wfmanager_add_new_patches_to_ml_34,1.3113021850585938e-05,wfmanager_add_new_patches_to_ml
142,cpu-static,wfmanager_add_cgframes_to_ml_34,6.365776062011719e-05,wfmanager_add_cgframes_to_ml
143,cpu-static,wfmanager_update_jobs_34,0.547227144241333,wfmanager_update_jobs
144,cpu-static,wfmanager_add_new_patches_mlserver_35,0.19420838356018066,wfmanager_add_new_patches_mlserver
145,cpu-static,wfmanager_add_new_patches_to_ml_35,1.3113021850585938e-05,wfmanager_add_new_patches_to_ml
146,cpu-static,wfmanager_add_cgframes_to_ml_35,2.002716064453125e-05,wfmanager_add_cgframes_to_ml
147,cpu-static,wfmanager_update_jobs_35,0.47226715087890625,wfmanager_update_jobs
148,cpu-static,wfmanager_add_new_patches_mlserver_36,0.17221808433532715,wfmanager_add_new_patches_mlserver
149,cpu-static,wfmanager_add_new_patches_to_ml_36,1.430511474609375e-05,wfmanager_add_new_patches_to_ml
150,cpu-static,wfmanager_add_cgframes_to_ml_36,1.5974044799804688e-05,wfmanager_add_cgframes_to_ml
151,cpu-static,wfmanager_update_jobs_36,0.9060516357421875,wfmanager_update_jobs
152,cpu-static,wfmanager_add_new_patches_mlserver_37,0.11103510856628418,wfmanager_add_new_patches_mlserver
153,cpu-static,wfmanager_add_new_patches_to_ml_37,1.3113021850585938e-05,wfmanager_add_new_patches_to_ml
154,cpu-static,wfmanager_add_cgframes_to_ml_37,1.7642974853515625e-05,wfmanager_add_cgframes_to_ml
155,cpu-static,wfmanager_update_jobs_37,0.551288366317749,wfmanager_update_jobs
156,cpu-static,wfmanager_add_new_patches_mlserver_38,0.25069189071655273,wfmanager_add_new_patches_mlserver
157,cpu-static,wfmanager_add_new_patches_to_ml_38,1.5497207641601562e-05,wfmanager_add_new_patches_to_ml
158,cpu-static,wfmanager_add_cgframes_to_ml_38,5.1975250244140625e-05,wfmanager_add_cgframes_to_ml
159,cpu-static,wfmanager_update_jobs_38,0.5432093143463135,wfmanager_update_jobs
160,cpu-static,wfmanager_add_new_patches_mlserver_39,0.19366693496704102,wfmanager_add_new_patches_mlserver
161,cpu-static,wfmanager_add_new_patches_to_ml_39,1.5020370483398438e-05,wfmanager_add_new_patches_to_ml
162,cpu-static,wfmanager_add_cgframes_to_ml_39,1.811981201171875e-05,wfmanager_add_cgframes_to_ml
163,cpu-static,wfmanager_update_jobs_39,0.4715585708618164,wfmanager_update_jobs
164,cpu-static,wfmanager_add_new_patches_mlserver_40,0.1684098243713379,wfmanager_add_new_patches_mlserver
165,cpu-static,wfmanager_add_new_patches_to_ml_40,3.910064697265625e-05,wfmanager_add_new_patches_to_ml
166,cpu-static,wfmanager_add_cgframes_to_ml_40,2.002716064453125e-05,wfmanager_add_cgframes_to_ml
167,cpu-static,wfmanager_update_jobs_40,0.640310525894165,wfmanager_update_jobs
168,cpu-static,wfmanager_add_new_patches_mlserver_41,0.1478745937347412,wfmanager_add_new_patches_mlserver
169,cpu-static,wfmanager_add_new_patches_to_ml_41,1.4781951904296875e-05,wfmanager_add_new_patches_to_ml
170,cpu-static,wfmanager_add_cgframes_to_ml_41,2.0742416381835938e-05,wfmanager_add_cgframes_to_ml
171,cpu-static,wfmanager_update_jobs_41,0.6928424835205078,wfmanager_update_jobs
172,cpu-static,wfmanager_add_new_patches_mlserver_42,0.13834881782531738,wfmanager_add_new_patches_mlserver
173,cpu-static,wfmanager_add_new_patches_to_ml_42,1.5497207641601562e-05,wfmanager_add_new_patches_to_ml
174,cpu-static,wfmanager_add_cgframes_to_ml_42,2.193450927734375e-05,wfmanager_add_cgframes_to_ml
175,cpu-static,wfmanager_update_jobs_42,0.5117156505584717,wfmanager_update_jobs
176,cpu-static,wfmanager_add_new_patches_mlserver_43,0.08939051628112793,wfmanager_add_new_patches_mlserver
177,cpu-static,wfmanager_add_new_patches_to_ml_43,1.4781951904296875e-05,wfmanager_add_new_patches_to_ml
178,cpu-static,wfmanager_add_cgframes_to_ml_43,1.6927719116210938e-05,wfmanager_add_cgframes_to_ml
179,cpu-static,wfmanager_update_jobs_43,0.41576695442199707,wfmanager_update_jobs
180,cpu-static,wfmanager_add_new_patches_mlserver_44,0.1171121597290039,wfmanager_add_new_patches_mlserver
181,cpu-static,wfmanager_add_new_patches_to_ml_44,1.621246337890625e-05,wfmanager_add_new_patches_to_ml
182,cpu-static,wfmanager_add_cgframes_to_ml_44,1.7881393432617188e-05,wfmanager_add_cgframes_to_ml
183,cpu-static,wfmanager_update_jobs_44,0.5192394256591797,wfmanager_update_jobs
184,cpu-static,wfmanager_add_new_patches_mlserver_45,0.17198681831359863,wfmanager_add_new_patches_mlserver
185,cpu-static,wfmanager_add_new_patches_to_ml_45,1.4543533325195312e-05,wfmanager_add_new_patches_to_ml
186,cpu-static,wfmanager_add_cgframes_to_ml_45,1.9550323486328125e-05,wfmanager_add_cgframes_to_ml
187,cpu-static,wfmanager_update_jobs_45,0.5215506553649902,wfmanager_update_jobs
188,cpu-static,wfmanager_add_new_patches_mlserver_46,0.15099859237670898,wfmanager_add_new_patches_mlserver
189,cpu-static,wfmanager_add_new_patches_to_ml_46,1.52587890625e-05,wfmanager_add_new_patches_to_ml
190,cpu-static,wfmanager_add_cgframes_to_ml_46,2.0265579223632812e-05,wfmanager_add_cgframes_to_ml
191,cpu-static,wfmanager_update_jobs_46,0.4431183338165283,wfmanager_update_jobs
192,cpu-static,wfmanager_add_new_patches_mlserver_47,0.3513813018798828,wfmanager_add_new_patches_mlserver
193,cpu-static,wfmanager_add_new_patches_to_ml_47,1.3828277587890625e-05,wfmanager_add_new_patches_to_ml
194,cpu-static,wfmanager_add_cgframes_to_ml_47,2.2411346435546875e-05,wfmanager_add_cgframes_to_ml
195,cpu-static,wfmanager_update_jobs_47,0.5094833374023438,wfmanager_update_jobs
196,cpu-static,wfmanager_add_new_patches_mlserver_48,0.13758015632629395,wfmanager_add_new_patches_mlserver
197,cpu-static,wfmanager_add_new_patches_to_ml_48,1.4781951904296875e-05,wfmanager_add_new_patches_to_ml
198,cpu-static,wfmanager_add_cgframes_to_ml_48,2.5033950805664062e-05,wfmanager_add_cgframes_to_ml
199,cpu-static,wfmanager_update_jobs_48,0.5872669219970703,wfmanager_update_jobs
200,cpu-static,wfmanager_add_new_patches_mlserver_49,0.09534525871276855,wfmanager_add_new_patches_mlserver
201,cpu-static,wfmanager_add_new_patches_to_ml_49,1.4066696166992188e-05,wfmanager_add_new_patches_to_ml
202,cpu-static,wfmanager_add_cgframes_to_ml_49,2.0742416381835938e-05,wfmanager_add_cgframes_to_ml
