,instance,iteration,event,duration,global,spot,hourly_cost,hours,cost
84,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_make_ndx_0,0.31841588020324707,createsims_gromacs_make_ndx,on-demand,2.463,8.844885561201309e-05,0.00021784953137238825
85,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_generate_velocities_0,39.09808969497681,createsims_generate_velocities,on-demand,2.463,0.010860580470826891,0.026749609699646633
86,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_short_equilibration_0,79.27353572845459,createsims_short_equilibration,on-demand,2.463,0.022020426591237385,0.05423631069421768
87,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_pull_molecules_0,326.233003616333,createsims_pull_molecules,on-demand,2.463,0.09062027878231473,0.2231977466408412
88,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_relax_protein,25.232415676116943,createsims_relax_protein,on-demand,2.463,0.007009004354476929,0.017263177725076677
89,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_short_equilibration_20fs,81.13918328285217,createsims_short_equilibration,on-demand,2.463,0.02253866202301449,0.05551272456268469
90,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_prime_cg_sim,0.7643606662750244,createsims_prime_cg_sim,on-demand,2.463,0.0002123224072986179,0.0005229500891764959
91,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,578.8899228572845,createsim_runtime,on-demand,2.463,0.1608027563492457,0.3960571888881922
92,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_create_cg_patch,0.0006382465362548828,createsims_create_cg_patch,on-demand,2.463,1.7729070451524523e-07,4.36667005221049e-07
93,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_setup_cg_sim,578.1178987026215,createsims_setup_cg_sim,on-demand,2.463,0.16058830519517261,0.39552899569571015
94,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_0,0.5946719646453857,createsims_gromacs_energy_minimization,on-demand,2.463,0.00016518665684594049,0.00040685473581155145
95,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_0,0.10215163230895996,createsims_mdrun_lipids_water,on-demand,2.463,2.8375453419155546e-05,6.988874177138011e-05
96,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_0,0.12014293670654297,createsims_trjconv_lipids_water,on-demand,2.463,3.337303797403971e-05,8.219779253005981e-05
97,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_1,0.5728394985198975,createsims_gromacs_energy_minimization,on-demand,2.463,0.00015912208292219373,0.0003919176902373632
98,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_1,1.5772714614868164,createsims_mdrun_lipids_water,on-demand,2.463,0.00043813096152411565,0.0010791165582338968
99,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_1,0.1417233943939209,createsims_trjconv_lipids_water,on-demand,2.463,3.936760955386691e-05,9.696242233117421e-05
100,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_2,0.570589542388916,createsims_gromacs_energy_minimization,on-demand,2.463,0.00015849709510803222,0.00039037834525108335
101,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_2,1.724431037902832,createsims_mdrun_lipids_water,on-demand,2.463,0.00047900862163967556,0.0011797982350985209
102,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_2,0.14267611503601074,createsims_trjconv_lipids_water,on-demand,2.463,3.963225417666965e-05,9.761424203713735e-05
103,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_3,0.567896842956543,createsims_gromacs_energy_minimization,on-demand,2.463,0.00015774912304348417,0.0003885360900561015
104,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_3,1.7715492248535156,createsims_mdrun_lipids_water,on-demand,2.463,0.0004920970069037543,0.001212034928003947
105,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_3,0.13660621643066406,createsims_trjconv_lipids_water,on-demand,2.463,3.794617123074002e-05,9.346141974131268e-05
106,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_4,0.5703237056732178,createsims_gromacs_energy_minimization,on-demand,2.463,0.00015842325157589384,0.0003901964686314265
107,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_4,1.676400899887085,createsims_mdrun_lipids_water,on-demand,2.463,0.0004656669166353014,0.0011469376156727474
108,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_4,0.13931560516357422,createsims_trjconv_lipids_water,on-demand,2.463,3.869877921210395e-05,9.531509319941202e-05
109,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_5,0.5709891319274902,createsims_gromacs_energy_minimization,on-demand,2.463,0.00015860809220208063,0.0003906517310937246
110,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_5,1.746431589126587,createsims_mdrun_lipids_water,on-demand,2.463,0.0004851198858684964,0.0011948502788941067
111,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_5,0.1397688388824463,createsims_trjconv_lipids_water,on-demand,2.463,3.882467746734619e-05,9.562518060207367e-05
112,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_6,0.5707838535308838,createsims_gromacs_energy_minimization,on-demand,2.463,0.0001585510704252455,0.00039051128645737964
113,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_6,1.6813879013061523,createsims_mdrun_lipids_water,on-demand,2.463,0.0004670521948072646,0.0011503495558102927
114,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_6,0.14467930793762207,createsims_trjconv_lipids_water,on-demand,2.463,4.018869664933947e-05,9.898475984732311e-05
115,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_7,0.5712695121765137,createsims_gromacs_energy_minimization,on-demand,2.463,0.00015868597560458712,0.0003908435579140981
116,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_7,1.599071979522705,createsims_mdrun_lipids_water,on-demand,2.463,0.0004441866609785292,0.0010940317459901174
117,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_7,0.14204740524291992,createsims_trjconv_lipids_water,on-demand,2.463,3.945761256747776e-05,9.718409975369772e-05
118,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_8,0.5771403312683105,createsims_gromacs_energy_minimization,on-demand,2.463,0.00016031675868564182,0.00039486017664273584
