,experiment,job,sample,event,duration,global
56,cpu-static,createsim,structure_000006219,createsims_mdrun_lipids_water_0,3.39186429977417,createsims_mdrun_lipids_water
57,cpu-static,createsim,structure_000006219,createsims_trjconv_lipids_water_0,0.16208362579345703,createsims_trjconv_lipids_water
58,cpu-static,createsim,structure_000006219,createsims_gromacs_make_ndx_0,0.3760244846343994,createsims_gromacs_make_ndx
59,cpu-static,createsim,structure_000006219,createsims_generate_velocities_0,77.38134384155273,createsims_generate_velocities
60,cpu-static,createsim,structure_000006219,createsims_short_equilibration_0,173.7061140537262,createsims_short_equilibration
61,cpu-static,createsim,structure_000006219,createsims_pull_molecules_0,688.6026408672333,createsims_pull_molecules
62,cpu-static,createsim,structure_000006219,createsims_relax_protein,50.114598751068115,createsims_relax_protein
63,cpu-static,createsim,structure_000006219,createsims_short_equilibration_20fs,172.1711220741272,createsims_short_equilibration
64,cpu-static,createsim,structure_000006219,createsims_prime_cg_sim,0.9279911518096924,createsims_prime_cg_sim
65,cpu-static,createsim,structure_003723862,createsim_runtime,1134.7070004940033,createsim_runtime
66,cpu-static,createsim,structure_003723862,createsims_create_cg_patch,0.0007920265197753906,createsims_create_cg_patch
67,cpu-static,createsim,structure_003723862,createsims_setup_cg_sim,1133.7609317302704,createsims_setup_cg_sim
68,cpu-static,createsim,structure_003723862,createsims_gromacs_energy_minimization_0,0.7386739253997803,createsims_gromacs_energy_minimization
69,cpu-static,createsim,structure_003723862,createsims_mdrun_lipids_water_0,3.4805727005004883,createsims_mdrun_lipids_water
70,cpu-static,createsim,structure_003723862,createsims_trjconv_lipids_water_0,0.16456031799316406,createsims_trjconv_lipids_water
71,cpu-static,createsim,structure_003723862,createsims_gromacs_make_ndx_0,0.3713669776916504,createsims_gromacs_make_ndx
72,cpu-static,createsim,structure_003723862,createsims_generate_velocities_0,73.88182234764099,createsims_generate_velocities
73,cpu-static,createsim,structure_003723862,createsims_short_equilibration_0,162.2491533756256,createsims_short_equilibration
74,cpu-static,createsim,structure_003723862,createsims_pull_molecules_0,662.3837623596191,createsims_pull_molecules
75,cpu-static,createsim,structure_003723862,createsims_relax_protein,54.189295053482056,createsims_relax_protein
76,cpu-static,createsim,structure_003723862,createsims_short_equilibration_20fs,174.32160758972168,createsims_short_equilibration
77,cpu-static,createsim,structure_003723862,createsims_prime_cg_sim,0.9341840744018555,createsims_prime_cg_sim
78,cpu-static,cganalysis,structure_039450538,cganalysis_run,1784.8884162902832,cganalysis_run
79,cpu-static,cganalysis,structure_039450538,cganalysis_load_mdanalysis,0.4719269275665283,cganalysis_load_mdanalysis
80,cpu-static,cganalysis,structure_039450538,cganalysis_run_simulation,5.0113301277160645,cganalysis_run_simulation
81,cpu-static,cganalysis,structure_039450538,cganalysis_simrun,5.011241674423218,cganalysis_simrun
82,cpu-static,cganalysis,structure_039450538,cganalysis_main_analysis,1779.352255821228,cganalysis_main_analysis
83,cpu-static,cganalysis,structure_073573891,cganalysis_run,1784.7334916591644,cganalysis_run
84,cpu-static,cganalysis,structure_073573891,cganalysis_load_mdanalysis,0.4821140766143799,cganalysis_load_mdanalysis
85,cpu-static,cganalysis,structure_073573891,cganalysis_run_simulation,5.011059522628784,cganalysis_run_simulation
86,cpu-static,cganalysis,structure_073573891,cganalysis_simrun,5.010967969894409,cganalysis_simrun
87,cpu-static,cganalysis,structure_073573891,cganalysis_main_analysis,1779.1868002414703,cganalysis_main_analysis
88,cpu-static,cganalysis,structure_096623376,cganalysis_run,1784.477782011032,cganalysis_run
89,cpu-static,cganalysis,structure_096623376,cganalysis_load_mdanalysis,0.4748721122741699,cganalysis_load_mdanalysis
90,cpu-static,cganalysis,structure_096623376,cganalysis_run_simulation,5.011643886566162,cganalysis_run_simulation
91,cpu-static,cganalysis,structure_096623376,cganalysis_simrun,5.011545419692993,cganalysis_simrun
92,cpu-static,cganalysis,structure_096623376,cganalysis_main_analysis,1778.938692331314,cganalysis_main_analysis
93,cpu-static,cganalysis,structure_082988082,cganalysis_run,1783.2061386108398,cganalysis_run
94,cpu-static,cganalysis,structure_082988082,cganalysis_load_mdanalysis,0.48371100425720215,cganalysis_load_mdanalysis
95,cpu-static,cganalysis,structure_082988082,cganalysis_run_simulation,5.0101728439331055,cganalysis_run_simulation
96,cpu-static,cganalysis,structure_082988082,cganalysis_simrun,5.010086297988892,cganalysis_simrun
97,cpu-static,cganalysis,structure_082988082,cganalysis_main_analysis,1777.6593434810638,cganalysis_main_analysis
98,cpu-static,cganalysis,structure_000006219,cganalysis_run,1783.213194847107,cganalysis_run
99,cpu-static,cganalysis,structure_000006219,cganalysis_load_mdanalysis,0.4771726131439209,cganalysis_load_mdanalysis
100,cpu-static,cganalysis,structure_000006219,cganalysis_run_simulation,5.011638879776001,cganalysis_run_simulation
101,cpu-static,cganalysis,structure_000006219,cganalysis_simrun,5.01154899597168,cganalysis_simrun
102,cpu-static,cganalysis,structure_000006219,cganalysis_main_analysis,1777.6713285446167,cganalysis_main_analysis
103,cpu-static,cganalysis,structure_003723862,cganalysis_run,1782.86944937706,cganalysis_run
104,cpu-static,cganalysis,structure_003723862,cganalysis_load_mdanalysis,0.47092580795288086,cganalysis_load_mdanalysis
105,cpu-static,cganalysis,structure_003723862,cganalysis_run_simulation,5.011420249938965,cganalysis_run_simulation
106,cpu-static,cganalysis,structure_003723862,cganalysis_simrun,5.011326551437378,cganalysis_simrun
107,cpu-static,cganalysis,structure_003723862,cganalysis_main_analysis,1777.3344686031342,cganalysis_main_analysis
108,gpu-static,createsim,structure_042980663,createsim_runtime,711.8548095226288,createsim_runtime
109,gpu-static,createsim,structure_042980663,createsims_create_cg_patch,0.0012543201446533203,createsims_create_cg_patch
110,gpu-static,createsim,structure_042980663,createsims_setup_cg_sim,710.2657351493835,createsims_setup_cg_sim
111,gpu-static,createsim,structure_042980663,createsims_gromacs_energy_minimization_0,1.1711957454681396,createsims_gromacs_energy_minimization
112,gpu-static,createsim,structure_042980663,createsims_mdrun_lipids_water_0,2.968207359313965,createsims_mdrun_lipids_water
113,gpu-static,createsim,structure_042980663,createsims_trjconv_lipids_water_0,0.27790141105651855,createsims_trjconv_lipids_water
114,gpu-static,createsim,structure_042980663,createsims_gromacs_make_ndx_0,0.5104866027832031,createsims_gromacs_make_ndx
115,gpu-static,createsim,structure_042980663,createsims_generate_velocities_0,45.93287992477417,createsims_generate_velocities
116,gpu-static,createsim,structure_042980663,createsims_short_equilibration_0,103.2819094657898,createsims_short_equilibration
117,gpu-static,createsim,structure_042980663,createsims_pull_molecules_0,413.86696219444275,createsims_pull_molecules
118,gpu-static,createsim,structure_042980663,createsims_relax_protein,34.49929928779602,createsims_relax_protein
119,gpu-static,createsim,structure_042980663,createsims_short_equilibration_20fs,104.8512589931488,createsims_short_equilibration
120,gpu-static,createsim,structure_042980663,createsims_prime_cg_sim,1.5699682235717773,createsims_prime_cg_sim
121,gpu-static,createsim,structure_065061590,createsim_runtime,743.8143992424011,createsim_runtime
122,gpu-static,createsim,structure_065061590,createsims_create_cg_patch,0.001255035400390625,createsims_create_cg_patch
123,gpu-static,createsim,structure_065061590,createsims_setup_cg_sim,742.2238018512726,createsims_setup_cg_sim
124,gpu-static,createsim,structure_065061590,createsims_gromacs_energy_minimization_0,1.2097556591033936,createsims_gromacs_energy_minimization
125,gpu-static,createsim,structure_065061590,createsims_mdrun_lipids_water_0,3.0203347206115723,createsims_mdrun_lipids_water
126,gpu-static,createsim,structure_065061590,createsims_trjconv_lipids_water_0,0.28252100944519043,createsims_trjconv_lipids_water
