,name,kind,job,event,duration,container,experiment,iteration
72,metrics-server-7794986bdb-txwqg,Pod,,pulled-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
73,metrics-server-7794986bdb-txwqg,Pod,,pulling-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
74,metrics-server-7794986bdb-txwqg,Pod,,scheduled-timestamp,1741902901.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
75,metrics-server-7794986bdb-txwqg,Pod,,created-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
76,metrics-server-7794986bdb-txwqg,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
77,metrics-server-7794986bdb-txwqg,Pod,,started-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
78,metrics-server-7794986bdb-txwqg,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
79,metrics-server-7794986bdb-txwqg,Pod,,pulled,1.34715239,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
80,metrics-server-7794986bdb-wknq7,Pod,,pulled-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
81,metrics-server-7794986bdb-wknq7,Pod,,pulling-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
82,metrics-server-7794986bdb-wknq7,Pod,,scheduled-timestamp,1741902901.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
83,metrics-server-7794986bdb-wknq7,Pod,,created-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
84,metrics-server-7794986bdb-wknq7,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
85,metrics-server-7794986bdb-wknq7,Pod,,started-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
86,metrics-server-7794986bdb-wknq7,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
87,metrics-server-7794986bdb-wknq7,Pod,,pulled,1.34986525,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/metrics-server:v0.7.2-eksbuild.2,cpu-static,0
88,event-exporter-c7548569-8kgmt,Pod,,pulled-timestamp,1741903264.0,ghcr.io/resmoio/kubernetes-event-exporter:latest,cpu-static,0
